_skip:boolean,_isTrial:integer,_isCien:integer,_isClean:integer,id:integer,enemyId:integer,order:integer,name:string,actions[0].type:string,actions[0].value:integer,actions[1].type:string,actions[1].value:integer
TRUE,,,,384,38,4,攻撃！,,,,
,,,,391,39,1,防御,block,3,,
,,,,392,39,2,攻撃！,attack,5,,
,,,,393,39,3,鎧,shield,3,,
,,,,394,39,4,大わざ,attack,6,pierce,0
,,,,511,51,1,攻撃！,attack,3,,
,,,,512,51,2,防御,block,4,,
,,,,513,51,3,大わざ,attack,6,pierce,0
,,,,514,51,4,ひとやすみ,rest,0,,
,,,,521,52,1,攻防,attack,4,block,2
,,,,522,52,2,どく,poison,3,,
,,,,523,52,3,大わざ,attack,7,,
,,,,524,52,4,シールド,shield,4,,
,,,,531,53,1,先制,attack,5,blitz,0
,,,,532,53,2,防御,block,5,,
,,,,533,53,3,大わざ,attack,9,pierce,0
,,,,534,53,4,クロスブレイク,crossBreak,0,,
,,,,541,54,1,攻撃！,attack,6,,
,,,,542,54,2,結晶化,ds_crystal,3,attack,3
,,,,543,54,3,シールド,shield,5,,
,,,,544,54,4,大わざ,attack,12,pierce,0
,,,,1011,101,1,攻撃！,attack,2,,
,,,,1012,101,2,結晶化,ds_crystal,2,,
,,,,1013,101,3,攻撃！,attack,3,,
TRUE,,,,1014,101,4,攻撃！,,,,
,,,,1021,102,1,攻防,attack,3,block,2
,,,,1022,102,2,結晶化,ds_crystal,3,,
,,,,1023,102,3,攻撃！,attack,4,,
,,,,1024,102,4,シールド,shield,3,,
,,,,1031,103,1,攻撃！,attack,2,,
,,,,1032,103,2,体温上昇,ds_fever,2,,
,,,,1033,103,3,攻撃！,attack,2,,
TRUE,,,,1034,103,4,攻撃！,,,,
,,,,1041,104,1,攻撃！,attack,3,,
,,,,1042,104,2,体温上昇,ds_fever,3,attack,2
,,,,1043,104,3,防御,block,3,,
,,,,1044,104,4,シールド,shield,3,,
,,,,9011,901,1,攻撃！,attack,2,,
,,,,9012,901,2,攻撃！,attack,1,,
TRUE,,,,9013,901,3,攻撃！,,,,
TRUE,,,,9014,901,4,攻撃！,,,,
,,,,9021,902,1,どく,poison,2,block,2
,,,,9022,902,2,攻撃！,attack,1,,
,,,,9023,902,3,攻撃！,attack,4,,
TRUE,,,,9024,902,4,攻撃！,,,,
,,,,9031,903,1,防御,block,3,,
,,,,9032,903,2,攻防,block,3,attack,4
,,,,9033,903,3,防御,block,3,,
,,,,9034,903,4,連撃,attack,3,attack,4
,,,,9041,904,1,先制,attack,4,blitz,0
,,,,9042,904,2,連撃,attack,3,attack,3
,,,,9043,904,3,攻撃！,attack,2,,
TRUE,,,,9044,904,4,攻撃！,,,,
,,,,9051,905,1,攻撃！,attack,3,,
,,,,9052,905,2,防御,block,4,,
,,,,9053,905,3,大わざ,attack,6,pierce,0
,,,,9054,905,4,ひとやすみ,rest,0,,
,,,,9061,906,1,攻防,attack,4,block,2
,,,,9062,906,2,どく,poison,3,,
,,,,9063,906,3,大わざ,attack,7,,
,,,,9064,906,4,ひとやすみ,rest,0,,
,,,,9071,907,1,先制,attack,5,blitz,0
,,,,9072,907,2,防御,block,5,,
,,,,9073,907,3,大わざ,attack,9,pierce,0
,,,,9074,907,4,クロスブレイク,crossBreak,0,,
,,,,9081,908,1,攻撃！,attack,6,,
,,,,9082,908,2,結晶化,ds_crystal,3,attack,3
,,,,9083,908,3,防御,block,6,,
,,,,9084,908,4,大わざ,attack,12,pierce,0
,,,,9091,909,1,クロスブレイク,crossBreak,0,,
,,,,9092,909,2,攻撃！,attack,3,,
,,,,9093,909,3,クロスブレイク,crossBreak,0,,
,,,,9094,909,4,攻撃！,attack,5,,
,,,,9101,910,1,ねむれ,sleep,1,,
,,,,9102,910,2,攻撃！,attack,5,,
,,,,9103,910,3,攻撃！,attack,3,,
TRUE,,,,9104,910,4,攻撃！,,,,
,,,,9111,911,1,攻撃！,attack,2,,
,,,,9112,911,2,シールド,shield,2,,
TRUE,,,,9113,911,3,攻撃！,,,,
TRUE,,,,9114,911,4,攻撃！,,,,
